id,a1,a2,class
1,2,2,1
2,3,1,1
3,1,1,1
4,2,2,1
5,3,3,0
6,3,2,1
7,1,1,1
8,3,1,1
9,3,2,1
10,3,3,0
11,3,3,0
12,2,3,1
13,2,1,1
14,3,3,0
15,1,2,1
16,2,2,1
17,1,2,1
18,2,3,1
19,1,1,1
20,1,1,1
21,1,3,1
22,1,1,1
23,1,1,1
24,3,3,0
25,1,3,1
26,1,2,1
27,3,1,1
28,2,2,1
29,1,3,1
30,3,2,1
31,1,3,0
32,2,3,1
33,3,2,1
34,2,3,1
35,2,2,1
36,3,1,1
37,2,3,1
38,2,1,1
39,2,3,0
40,3,1,1
41,3,2,1
42,1,3,1
43,1,2,1
44,2,1,1
45,2,3,0
46,2,3,0
47,2,3,1
48,2,3,0
49,2,3,1
50,2,2,1
